"lang" 
{ 
"Language" "japanese" 
"HL2_BEAT_PLAZASTANDOFF_DESC"		"「敵性市民 1」のチャプターで、動力炉のあるプラザの戦いを生き抜く。"
"HL2_KILL_ALLC1709SNIPERS_NAME"		"カウンタースナイパー"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"シティ 17 にいるすべてのスナイパーを倒す。"
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"動力遮断"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"動力炉を不能にし、サプレッサーを停止させる。"
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"ジャイアントキラー"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"シティ 17 の廃墟で、屋上でのストライダーとの戦いを生き抜く。"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"噴霧器"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"15 体の敵兵をエネルギーボールのフィールドに投げ入れてバラバラにする。"
"HL2_BEAT_GAME_NAME"			"特異点崩壊"
"HL2_BEAT_GAME_DESC"			"要塞の核融合炉を破壊する。"
"HL2_FIND_ALLLAMBDAS_NAME"		"ラムダロケーター"
"HL2_FIND_ALLLAMBDAS_DESC"		"Half-Life 2 で、ラムダのマークが付いたアイテムをすべて見つけ出す。"
} 
}
