"lang" 
{ 
"Language" "dutch" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"POINT INSERTION"
"HL2_Credits_SpecialThanks"		"Met speciale dank aan iedereen bij:"

"HL2_Annabelle"                 "ANNABELLE"
"HL2_AlyxGun"                   "PISTOOL VAN ALYX"
"HL2_CitizenPackage"            "VOEDSELPAKKET"
"HL2_CitizenSuitcase"           "KOFFER"
"HL2_Cubemap"                   "CUBEMAP"
"HL2_StunBaton"                 "VERLAMSTOK"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"Opstandig"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"Mep de agent met een blikje."
"HL2_PUT_CANINTRASH_NAME"		"Onderdanig"
"HL2_PUT_CANINTRASH_DESC"		"Gooi het blikje in de vuilnisbak."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"Ontevreden"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"Ontvlucht het appartementenblok."
"HL2_BREAK_MINITELEPORTER_NAME"		"Welke kat?"
"HL2_BREAK_MINITELEPORTER_DESC"		"Maak de miniteleporter in Kleiners lab stuk."
"HL2_GET_CROWBAR_NAME"			"Vertrouwd gereedschap"
"HL2_GET_CROWBAR_DESC"			"Pak de koevoet."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"Barnacle-bowlen"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"Maak vijf barnacles dood met één vat."
"HL2_GET_AIRBOAT_NAME"			"Anker los!"
"HL2_GET_AIRBOAT_DESC"			"Pak de luchtboot."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"Luchtje scheppen"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"Blijf vijf seconden in de lucht hangen met de luchtboot."
"HL2_GET_AIRBOATGUN_NAME"		"Zware wapens"
"HL2_GET_AIRBOATGUN_DESC"		"Pak het geweer van de luchtboot."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"Vortihoest"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"Ontdek de verborgen zingende Vortigaunt-grot in het hoofdstuk Water Hazard."
"HL2_KILL_CHOPPER_NAME"			"Wraak!"
"HL2_KILL_CHOPPER_DESC"			"Vernietig de hunter-heli in Half-Life 2."
"HL2_FIND_HEVFACEPLATE_NAME"		"Oude bekende"
"HL2_FIND_HEVFACEPLATE_DESC"		"Vind de voorkant van de HEV-oplader op de schroothoop van Eli."
"HL2_GET_GRAVITYGUN_NAME"		"Zero-Point Energy"
"HL2_GET_GRAVITYGUN_DESC"		"Pak de Gravity Gun in Black Mesa East."
"HL2_MAKEABASKET_NAME"			"Tweepunter"
"HL2_MAKEABASKET_DESC"			"Scoor met de bal van DOG op Elis schroothoop."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"Zombie Chopper"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"Speel door Ravenholm met alleen de Gravity Gun."
"HL2_BEAT_CEMETERY_NAME"		"Gewijde grond"
"HL2_BEAT_CEMETERY_DESC"		"Begeleid Grigori veilig over het kerkhof."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"Arbo-overtreding"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"Dood drie vijanden met de kraan."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"Agressieve marketing"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"Pin een soldaat vast in Highway 17."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"Waar geen Cubbage durft te komen"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"Verdedig Little Odessa tegen de gunships."
"HL2_KILL_THREEGUNSHIPS_NAME"		"Eenmansleger"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Vernietig zes gunships in Half-Life 2."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"Niet op het zand!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"Steek het antlion-strand over in het hoofdstuk Sandtraps zonder het zand aan te raken."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"Ongenode gast"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"Vernietig beide gunships op de binnenplaats van Nova Prospekt."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"Krijg het zuur"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"Dood 50 vijanden met de antlions."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"Spoeling"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"Dood een vijand met een toilet."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"Freeman de bewaker"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"Overleef de tweede turretveldslag in Nova Prospekt."
"HL2_FOLLOWFREEMAN_NAME"		"Volg Freeman"
"HL2_FOLLOWFREEMAN_DESC"		"Neem het commando over een groep opstandige rebellen."
"HL2_BEAT_TOXICTUNNEL_NAME"		"Stralingsgevaar"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Baan je weg door de giftige tunnel onder City 17 in Half-Life 2."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"Plazadienst"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"Overleef het generatorgevecht in Anticitizen One."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"Counter-Sniper"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"Dood alle sluipschutters in City 17."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"Tegen het systeem"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"Onderdruk de onderdrukking door de generatoren uit te schakelen."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"Reuzendoder"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"Overleef de striders op het dak tussen de ruïnes van City 17."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"Atoomkracht"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"Laat 15 soldaten vergaan door ze in een Combine-veld te gooien."
"HL2_BEAT_GAME_NAME"			"Ingestorte singulariteit"
"HL2_BEAT_GAME_DESC"			"Vernietig de reactorkern van de citadel."
"HL2_FIND_ALLLAMBDAS_NAME"		"Lambda-locaties"
"HL2_FIND_ALLLAMBDAS_DESC"		"Vind alle lambdas in Half-Life 2."
} 
}
