"lang" 
{ 
"Language" "turkish" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"ANLAMLI KATILIM"
"HL2_KILL_CHOPPER_DESC"			"Half-Life 2'deki avcı helikopteri yok et."
"HL2_FIND_HEVFACEPLATE_NAME"		"Geçmişten Gelen Patlama"
"HL2_FIND_HEVFACEPLATE_DESC"		"Eli'in hurdalığındaki HEV Giysi Şarj Edicisinin ön plakasını bul."
"HL2_GET_GRAVITYGUN_NAME"		"Sıfır-Noktasal Enerji"
"HL2_GET_GRAVITYGUN_DESC"		"Black Mesa East'teki Yer Çekimi Silahını al."
"HL2_MAKEABASKET_NAME"			"İki Sayı"
"HL2_MAKEABASKET_DESC"			"Eli'ın hurdalığında DOG'un topuyla basket at."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"Zombi Doğrayıcı"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"Ravenholm'u yalnızca Yer Çekimi Silahını kullanarak geç."
"HL2_BEAT_CEMETERY_NAME"		"Kutsal Toprak"
"HL2_BEAT_CEMETERY_DESC"		"Kilise mezarlığına güvenle ulaşmak için Grigori'ye eşlik et."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"OSHA İhlâli"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"Vinci kullanarak 3 düşman öldür."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"Hedeflenen Reklam"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"17. Otoyol bölümündeki bir askeri reklam panosuna çivile."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"Cubbage'ın Tehlikeden Korktuğu Nerede Görülmüş?"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"Little Odessa'yı avcı gemi saldırısından koru."
"HL2_KILL_THREEGUNSHIPS_NAME"		"Tek Kişilik Ordu"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Half-Life 2'deki altı avcı gemiyi de yok et."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"Kuma Basma!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"Kum Kapanı bölümündeki antlion plajını kuma basmadan geç."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"Davetsiz Misafir"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"Nova Prospekt avlusundaki iki avcı gemiyi de yok et."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"Böcek Avı"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"50 düşmanı öldürmek için antlionları kullan."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"Sifonu Çekildi"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"Bir düşmanı tuvalet ile öldür."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"Gardiyan Freeman"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"Nova Prospekt'teki ikinci taret savunmasından sağ olarak kurtul."
"HL2_FOLLOWFREEMAN_NAME"		"Freeman'ı Takip Edin"
"HL2_FOLLOWFREEMAN_DESC"		"Ayaklanmada, direnişçilerden oluşan ekibin komutasını kazan."
"HL2_BEAT_TOXICTUNNEL_NAME"		"Zeminde Radyasyon Saptandı"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Half-Life 2'deki Şehir 17'nin altındaki toksik tünelden geç."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"Plaza Savunucusu"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"Başkaldıran bölümündeki jeneratör plazası savunmasından sağ olarak kurtul."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"Anti Keskin Nişancı"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"Şehir 17'deki tüm keskin nişancıları öldür."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"Güç Kavgası"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"Baskı aygıtını jeneratörlerini devre dışı bırakarak kapat."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"Dev Katili"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"Şehir 17 kalıntılarının çatılarındaki strider savaşından sağ olarak kurtul."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"Atomizer"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"15 askeri Combine enerji topu alanına fırlatarak atomlarına ayır."
"HL2_BEAT_GAME_NAME"			"Eşsiz Çöküş"
"HL2_BEAT_GAME_DESC"			"Citadel'in reaktör çekirdeğini yok et."
"HL2_FIND_ALLLAMBDAS_NAME"		"Lambda Bulucu"
"HL2_FIND_ALLLAMBDAS_DESC"		"Half-Life 2'deki tüm lambda zulalarını bul."
} 
}
