"lang" 
{ 
"Language" "danish" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"PUNKTINDSATS"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Slip igennem den giftige tunnel under by 17 i Half-Life 2."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"Pladsforsvarer"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"Overlev duellen på generatorpladsen i kapitlet Antiborger ét."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"Kontrasnigskytte"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"Dræb alle snigskytterne i by 17."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"Bekæmp magten"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"Luk undertrykkelsesenheden ned ved at sætte dens generatorer ud af drift."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"Gigantdræber"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"Overlev striderslaget på tagene i ruinerne af by 17."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"Forstøver"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"Disintegrer 15 soldater ved at kaste dem ind i et Combine-kuglefelt."
"HL2_BEAT_GAME_NAME"			"Singularitetskollaps"
"HL2_BEAT_GAME_DESC"			"Tilintetgør citadellets reaktorkerne."
"HL2_FIND_ALLLAMBDAS_NAME"		"Lambdalokalisator"
"HL2_FIND_ALLLAMBDAS_DESC"		"Find alle lambda-skjulene i Half-Life 2."
} 
}
