"lang" 
{ 
"Language" "french" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"POINT D'INSERTION"
"HL2_KILL_CHOPPER_NAME"			"Vengeance !"
"HL2_KILL_CHOPPER_DESC"			"Détruisez l'hélico de Half-Life 2."
"HL2_FIND_HEVFACEPLATE_NAME"		"L'explosion du passé"
"HL2_FIND_HEVFACEPLATE_DESC"		"Trouvez la plaque du chargeur de combi CEH dans la casse d'Eli."
"HL2_GET_GRAVITYGUN_NAME"		"Énergie point zéro"
"HL2_GET_GRAVITYGUN_DESC"		"Trouvez le pistolet anti-gravité dans Black Mesa Est."
"HL2_MAKEABASKET_NAME"			"Deux points"
"HL2_MAKEABASKET_DESC"			"Prenez la balle de Chien pour faire un basket dans la casse d'Eli."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"Découpage de zombies"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"Frayez-vous un chemin à travers Ravenholm en utilisant uniquement le pistolet anti-gravité."
"HL2_BEAT_CEMETERY_NAME"		"Terre bénie"
"HL2_BEAT_CEMETERY_DESC"		"Assurez la sécurité du père Grigori pendant la traversée du cimetière de l'église."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"Violation OSHA"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"Tuez trois ennemis à l'aide de la grue."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"Cible publicitaire"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"Épinglez un soldat sur le tableau d'affichage dans le chapitre Autoroute 17."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"Là où il ne fait pas bon être Cubbage"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"Défendez Little Odessa pendant l'attaque de l'hélico."
"HL2_KILL_THREEGUNSHIPS_NAME"		"Une armée à lui tout seul"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Détruisez six hélicos dans Half-Life 2."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"Attention au sable !"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"Traversez la plage de fourmis-lions du chapitre Pièges de sable sans toucher le sable."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"Un invité malvenu"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"Détruisez les deux hélicos dans la cour de Nova Prospekt."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"Chasse aux insectes"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"Utilisez les fourmis-lions pour tuer 50 ennemis."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"Chasse d'eau"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"Tuez un ennemi à l'aide des toilettes."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"Freeman le garde"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"Restez en vie dans la deuxième confrontation avec des tourelles de Nova Prospekt."
"HL2_FOLLOWFREEMAN_NAME"		"Suivez Freeman"
"HL2_FOLLOWFREEMAN_DESC"		"Prenez le contrôle d'un escadron de rebelles lors du soulèvement."
"HL2_BEAT_TOXICTUNNEL_NAME"		"Menace radioactive détectée"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Traversez le tunnel toxique sous Cité 17 dans Half-Life 2."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"Défenseur de la place"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"Restez en vie dans l'attaque sur la place du générateur du chapitre Anti-citoyen un."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"Jusqu'au dernier"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"Tuez tous les snipers de Cité 17."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"Alimentation hors service"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"Désactivez le champ de suppression en coupant les générateurs."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"Tueur de géants"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"Restez en vie lors de la bataille sur le toit face aux striders dans les ruines de Cité 17."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"Atomiseur"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"Désintégrez 15 soldats en les jetant dans un champ de boules du Cartel."
"HL2_BEAT_GAME_NAME"			"Destruction totale"
"HL2_BEAT_GAME_DESC"			"Détruisez le noyau du réacteur de la Citadelle."
"HL2_FIND_ALLLAMBDAS_NAME"		"Chercheur lambda"
"HL2_FIND_ALLLAMBDAS_DESC"		"Trouvez toutes les caches lambda dans Half-Life 2."
} 
}
