"lang" 
{ 
	"Language" "ukrainian" 
		"Replay_LockWarning"			"УВАГА: блокування комп’ютера під час процесу візуалізації може пошкодити ваш фільм!"

		"Replay_NextX"					"НАСТ. %s1"
		"Replay_PrevX"					"ПОПЕРЕДНІЙ %s1"
		
		"Replay_BackCarat"				"<< НАЗАД"

		"Replay_NewRecord"				"НОВИЙ РЕКОРД!"
		"Replay_NoNewRecord"			"Цього разу рекорд побити не вдалось. Пробуйте ще!"
		"Replay_SingleWordDateAndTime"	"%s1 о %s2"				// "Today @ 11:00 AM" or "Yesterday at 1:32 PM"
		"Replay_DateAndTime"			"%s2 %s1 %s3 о %s4"	// "March 5, 2009 @ 12:32 PM"
		"Replay_Date"					"%s2 %s1 %s3 р."			// "March 5, 2009"
		"Replay_Today"					"Сьогодні"
		"Replay_Yesterday"				"Учора"
		"Replay_DeleteEditConfirm"		"Цей дубль буде видалено назавжди."
		"Replay_DeleteReplayConfirm"	"Цей повтор і всі пов’язані дублі буде видалено назавжди."
		"Replay_DeleteMovieConfirm"		"Цей фільм буде видалено назавжди."
		"Replay_RoundInProgress"		"ОЧІКУВАННЯ СЕРВЕРА"
		"Replay_RenderEllipsis"			"ЗБЕРЕГТИ ЯК ФІЛЬМ…"
		"Replay_RenderReplay"			"ОБРОБИТИ ПОВТОР"
		"Replay_RenderReplays"			"ОБРОБКА ФІЛЬМІВ"
		"Replay_OlderMovies"			"СТАРІ ФІЛЬМИ:"
		"Replay_Rendered"				"ФІЛЬМИ"
		"Replay_Go"						"УПЕРЕД!"
		"Replay_HighestVideo"			"Графіка з найвищою якістю зображення"
		"Replay_QuitWhenDone"			"Вийти по завершенні"
		"Replay_EnableAntiAliasing"		"Увімкнути згладжування"
		"Replay_EnableVoicePlayback"	"Записати голосові перемови"
		"Replay_OverrideFov"			"Зміна поля зору:"
		"Replay_DeleteDenialTitle"		"НЕ ВДАЛОСЯ СТЕРТИ ПОВТОР"
		"Replay_DeleteDenialText"		"Перед видаленням повтору ви маєте видалити всі пов’язані з ним готові фільми."
		"Replay_Title"					"Назва"
		"Replay_ConfirmQuitTitle"		"Дійсно хочете вийти?"
		"Replay_TakeMeToReplays"		"Відправте мене до повторів"
		"Replay_YesReallyQuit"			"Так, вийти"
		"Replay_ConfirmQuit"			"Ви маєте тимчасові повтори, що можуть пропасти,\nякщо ви вийдете без їх збереження як фільмів."
		"Replay_CancelRenderTitle"		"Скасувати обробку?"
		"Replay_ConfirmCancelRender"	"Ви дійсно бажаєте скасувати обробку?"
		"Replay_YesCancel"				"Так, скасувати"
		"Replay_No"						"No"
		"Replay_CancelRender"			"X СКАСУВАТИ"
		"Replay_Cancel"					"СКАСУВАТИ"
		"Replay_RenderPreview"			"Увімкнути попередній перегляд (повільніше)"
		"Replay_RenderNow"				"Зберегти зараз як фільми, а потім вийти"
		"Replay_DontShowThisAgain"		"Більше не показувати це повідомлення"
		"Replay_RenderEditTitle"		"Параметри ракурсу"
		"Replay_RenderEditFov"			"Поле зору камери"
		"Replay_RenderEditCamMoveSpeed"	"Швидкість руху камери"
		"Replay_RenderEditCamRotSpeed"	"Швидкість обертання камери"
		"Replay_AspectRatio"			"Формат екрана"
		"Replay_Reset"					"Скинути"
		"Replay_ReplayIntroTitle"		"повтор — прочитайте це!"
		"Replay_ConfirmDisconnectFromServer"	"Поточна гра завершиться."
		"Replay_FirstPerson"			"Від першої особи"
		"Replay_Chase"					"Від третьої особи"
		"Replay_Free"					"Вільна камера"
		"Replay_Pause"					"Призупинити/продовжити"
		"Replay_SlowMo"					"СПОВІЛЬНЕННЯ"
		"Replay_RenderOverlayText"		"Збереження фільму…"
		"Replay_RenderOverlay_TimeLeft"	"Час: %s1 (%s2 залишилось)"
		"Replay_ExportRaw"				"Експорт у нестиснені TGA/WAV"
		"Replay_UseQuickTime"			"Стискати кодеком QuickTime"
		"Replay_AccelMin"				"Менше"
		"Replay_AccelMax"				"Більше"
		"Replay_SpeedMin"				"Повільніше"
		"Replay_SpeedMax"				"Швидше"
		"Replay_FreeCam"				"ВІЛЬНА КАМЕРА"
		"Replay_FovMin"					"Вужче"
		"Replay_FovMax"					"Ширше"
		"Replay_RotFilterMin"			"Без фільтрації"
		"Replay_RotFilterMax"			"З фільтрацією"
		"Replay_ShakeSpeed"				"Швидкість струсів:"
		"Replay_ShakeSpeedMin"			"Повільно"
		"Replay_ShakeSpeedMax"			"Швидко"
		"Replay_ShakeAmount"			"Кількість струсів:"
		"Replay_ShakeAmountMin"			"Спокійно"
		"Replay_ShakeAmountMax"			"Землетрус"
		"Replay_ShakeDir"				"Напрямок струсу:"
		"Replay_ShakeDirMin"			"Горизонтальний"
		"Replay_ShakeDirMax"			"Вертикальний"
		"Replay_Accel"					"Пришвидшення:"
		"Replay_Speed"					"Швидкість:"
		"Replay_Fov"					"Поле зору:"
		"Replay_RotFilter"				"Фільтр обертання:"
		"Replay_TimeScaleMin"			"Сповільнення"
		"Replay_TimeScaleMax"			"Часова лінія"
		"Replay_Scale"					"Масштаб:"
		"Replay_SetDefaultSetting"		"СКИНУТИ"
		"Replay_ResetTimeScale"			"СКИНУТИ"
		"Replay_TimeScale"				"ЧАСОВА ШКАЛА"
		"Replay_Original"				"ОРИГІНАЛ:"
		"Replay_Performances"			"ДУБЛІВ:"
		"Replay_Warning"				"Попередження"
		"Replay_Tip"					"Порада"
		"Replay_NukePerformanceChanges"	"Якщо погодитеся, зміни після поточної мітки часу будуть відхилені.\n\nАле будь-які подальші зміни будуть записані."
		"Replay_UseQuickTimePlayer"		"Для перегляду збережених фільмів рекомендовано користуватися QuickTime."
		"Replay_UseVLCPlayer"		    "Рекомендовано використовувати плєер VLC для перегляду збережених відеофайлів."
		"Replay_ThanksIWill"			"Дякую, так і зроблю"
		"Replay_Save"					"Зберегти"
		"Replay_SaveAs"					"Зберегти як…"
		"Replay_Exit"					"Вийти з редактору повторів"
		"Replay_MotionBlur"				"Якість розмиття"
		"Replay_MotionBlur_Low"			"Низька"
		"Replay_MotionBlur_High"		"Висока"
		"Replay_MotionBlur_Enabled"		"Увімкнути розмиття рухів (збільшить час обробки)"
		"Replay_Glow_Enabled"			"Увімкнути підсвічування"
		"Replay_Codec"					"Відеокодек"
		"Replay_Codec_H264"				"Повільніший, найвища якість (H.264)"
		"Replay_Codec_MJPEGA"			"Швидкий, більший розмір файлу (MJPEG-A)"
		"Replay_Codec_WEBM"                     "Кодек WebM"
		"Replay_Quality"				"Якість обробки"
		"Replay_Quality_Low"			"Низька (впливає на розмір файлу)"
		"Replay_Quality_High"			"Висока"
		"Replay_ExportMovie"			"ЕКСПОРТ"
		"Replay_FindExportMovieLocation"	"Назва файлу експортованого фільму"
		"Replay_ExportMovieError_Title"		"Помилка"
		"Replay_ExportMovieError_Text"		"Не вдалося експортувати фільм вказаним шляхом. Переконайтеся, будь ласка, що на носії достатньо вільного місця, а ви маєте відповідні дозволи на доступ."
		"Replay_ExportMovieNoFile_Text"		"Фільм не експортовано, оскільки не вдалося знайти файл фільму."
		"Replay_ExportMovieSuccess_Title"		"Успіх"
		"Replay_ExportMovieSuccess_Text"		"Фільм було успішно експортовано!"
		"Replay_MovieFiles"					"Фільм QuickTime"
		"Replay_WebmMovieFiles"					"Ролик WebM"

		"Replay_PerfTip_EnterPerfMode"		"НАТИСНІСТЬ ПРОБІЛ ДЛЯ ВХОДУ У РЕДАКТОР ПОВТОРІВ."
		"Replay_PerfTip_ExitPerfMode"		"НАТИСНІТЬ ПРОБІЛ ДЛЯ ВИХОДУ З РЕДАКТОРУ ПОВТОРІВ І ПРОДОВЖЕННЯ ВІДТВОРЕННЯ."
		"Replay_PerfTip_ExitFreeCam"		"КЛАЦНІТЬ ЛКМ ДЛЯ ВИВІЛЬНЕННЯ ВКАЗІВНИКА МИШІ."
		"Replay_PerfTip_EnterFreeCam"		"КЛАЦНІТЬ ЛКМ І ПЕРЕСУНЬТЕ МИШУ ДЛЯ ПОВОРОТУ КАМЕРИ.\nДЛЯ ГОРИЗОНТАЛЬНОГО РУХУ НАТИСКАЙТЕ КЛАВІШІ «W» / «A» / «S» / «D».\nДЛЯ ВЕРТИКАЛЬНОГО РУХУ НАТИСКАЙТЕ «Z» ТА «X»."
		"Replay_PerfTip_InPointSet"			"МІТКА ПОЧАТКУ ВСТАНОВЛЕНА."
		"Replay_PerfTip_InPointRemoved"		"МІТКА ПОЧАТКУ УСУНЕНА."
		"Replay_PerfTip_OutPointSet"		"МІТКА КІНЦЯ ВСТАНОВЛЕНА."
		"Replay_PerfTip_OutPointRemoved"	"МІТКА КІНЦЯ УСУНЕНА."
		"Replay_PerfTip_NowRecording"		"РОЗПОЧАТО ЗАПИС."
		"Replay_PerfTip_Snip"				"*КЛАЦ*"
		"Replay_PerfTip_Saved"				"ДУБЛЬ УСПІШНО ЗБЕРЕЖЕНИЙ."
		"Replay_PerfTip_SaveFailed"			"НЕ ВДАЛОСЯ ЗБЕРЕГТИ ДУБЛЬ!"
		"Replay_PerfTip_EndOfReplayReached"	"ДОСЯГНУТО КІНЦЯ ПОВТОРУ."

		"Replay_PerfTip_Highlight_Word0"	"ВХІД"
		"Replay_PerfTip_Highlight_Word1"	"ВИХІД"
		"Replay_PerfTip_Highlight_Word2"	"НАТИСНІТЬ ПРОБІЛ"
		"Replay_PerfTip_Highlight_Word3"	"КЛАЦНІТЬ ЛКМ"
		"Replay_PerfTip_Highlight_Word4"	"ПРОДОВЖІТЬ ВІДТВОРЕННЯ"
		"Replay_PerfTip_Highlight_Word5"	"ПЕРЕМОТАЙТЕ"
		"Replay_PerfTip_Highlight_Word6"	"МІТКА КІНЦЯ"
		"Replay_PerfTip_Highlight_Word7"	"ОБРІЗКА"
		"Replay_PerfTip_Highlight_Word8"	"«W»"
		"Replay_PerfTip_Highlight_Word9"	"«A»"
		"Replay_PerfTip_Highlight_Word10"	"«S»"
		"Replay_PerfTip_Highlight_Word11"	"«D»"
		"Replay_PerfTip_Highlight_Word12"	"«Z»"
		"Replay_PerfTip_Highlight_Word13"	"«X»"
		"Replay_PerfTip_Highlight_Word14"	"ПЕРЕСУНЬТЕ МИШУ"
		"Replay_PerfTip_Highlight_Word15"	"МІТКА ПОЧАТКУ"
		"Replay_PerfTip_Highlight_Word16"	"ВІДТВОРИТИ"
		"Replay_PerfTip_Highlight_Word17"	"ПЕРЕМОТКА ВПЕРЕД"
		"Replay_PerfTip_Highlight_Word18"	"SHIFT"
		"Replay_PerfTip_Highlight_Word19"	"ALT"
		"Replay_PerfTip_Highlight_Word20"	"ВІД ПЕРШОЇ ОСОБИ"
		"Replay_PerfTip_Highlight_Word21"	"ВІД ТРЕТЬОЇ ОСОБИ"
		"Replay_PerfTip_Highlight_Word22"	"ВІЛЬНА КАМЕРА"
		"Replay_PerfTip_Highlight_NumWords"	"23"

		"Replay_EditorButtonTip_InButton"			"МІТКА ПОЧАТКУ — ЗАЗНАЧАЄ ПОЧАТОК ДУБЛЮ"
		"Replay_EditorButtonTip_RwHardButton"		"ПЕРЕМОТКА НА ПОЧАТОК ДУБЛЮ АБО\nНА МІТКУ ПОЧАТКУ, ЯКЩО ЗАДАНА"
		"Replay_EditorButtonTip_RwButton"			"ПЕРЕМОТКА НАЗАД НА 10 СЕКУНД"
		"Replay_EditorButtonTip_PlayButton"			"ВІДТВОРИТИ"
		"Replay_EditorButtonTip_FfButton"			"ПЕРЕМОТКА ВПЕРЕД — НАТИСНІТЬ І УТРИМУЙТЕ ЛКМ\n * УТРИМУЙТЕ SHIFT ДЛЯ ПОВІЛЬНІШОЇ ПЕРЕМОТКИ\n * УТРИМУЙТЕ ALT ДЛЯ ШВИДШОЇ ПЕРЕМОТКИ"
		"Replay_EditorButtonTip_FfHardButton"		"ПЕРЕМОТКА ВПЕРЕД У КІНЕЦЬ ПОВТОРУ АБО НА\nМІТКУ КІНЦЯ, ЯКЩО ЗАДАНА"
		"Replay_EditorButtonTip_OutButton"			"МІТКА КІНЦЯ — ЗАЗНАЧАЄ КІНЕЦЬ ДУБЛЯ"
		"Replay_EditorButtonTip_FirstPersonButton"	"КАМЕРА ВІД ПЕРШОЇ ОСОБИ"
		"Replay_EditorButtonTip_ThirdPersonButton"	"КАМЕРА ВІД ТРЕТЬОЇ ОСОБИ"
		"Replay_EditorButtonTip_FreeCamButton"		"ВІЛЬНА КАМЕРА"
		"Replay_EditorButtonTip_TimeScaleButton"	"СПОВІЛЬНИТИ ЧИ ПРИШВИДШИТИ ПЛИН ЧАСУ"
			
		"Replay_ClientSideDisabled"				"ПОВТОРИ БУЛИ ЗАБЛОКОВАНІ ЧЕРЕЗ НЕОЧІКОВАНУ ПОВЕДІНКУ СЕРВЕРА."
		"Replay_ClientSideEnabled"				"ПОВТОР ВІДНОВЛЕНО ПІСЛЯ НЕОЧІКУВАНОЇ ПОВЕДІНКИ СЕРВЕРА."

		"Replay_DL_Err_SI_NoSessionName"		"Відсутня назва сеансу у файлі відомостей про сеанс."
		"Replay_DL_Err_SI_ReplayNotFound"		"Не знайдено повтор у файлі відомостей про сеанс."
		"Replay_DL_Err_SI_InvalidReplayStatus"	"Хибний стан повтору у файлі відомостей про сеанс."
		"Replay_DL_Err_SI_InvalidOrder"			"Хибний порядок блоків у файлі відомостей про сеанс."
		"Replay_DL_Err_SI_Unknown"				"Не вдалося завантажити та опрацювати файл сеансу з невідомих причин."
		"Replay_DL_Err_SI_BlockReadFailed"		"Збій читання завантаженого буфера блоків сеансу."
		"Replay_DL_Err_SI_NotEnoughData"		"Файл відомостей про сеанс було завантажено, але він не має достатньо даних для складення заголовка."
		"Replay_DL_Err_SI_CouldNotCreateCompressor" "Завантажувач відомостей про сеанс не зміг створити вказаний стискач, бо той був хибний."
		"Replay_DL_Err_SI_InvalidUncompressedSize" "Завантажені відомості про сеанс вказують на хибний розмір нестиснених даних."
		"Replay_DL_Err_SI_PayloadDecompressFailed" "Не вдалося видобути дані відомостей про сеанс."
		"Replay_DL_Err_SI_PayloadHashFailed"	"Контрольна сума даних відомостей про сеанс виявилася хибною."
		"Replay_DL_Err_SI_Unknown_Session"		"Завантажений покажчик сервера вказує на сеанс, що не існує на клієнті."
		"Replay_DL_Err_SI_DownloadFailed_UnknownError"		"Не вдалося завантажити файл відомостей про сеанс: невідома помилка. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_ZeroLengthFile"	"Не вдалося завантажити файл відомостей про сеанс: файл нульового розміру. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_ConnectionClosed"	"Не вдалося завантажити файл відомостей про сеанс: з’єднання розірване. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_InvalidURL"		"Не вдалося завантажити файл відомостей про сеанс: хибна URL-адреса. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_InvalidProtocol"	"Не вдалося завантажити файл відомостей про сеанс: хибний протокол. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_CantBindSocket"	"Не вдалося завантажити файл відомостей про сеанс: не вдалося зіставити сокет. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_CantConnect"		"Не вдалося завантажити файл відомостей про сеанс: не вдалося з’єднатися. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_NoHeaders"			"Не вдалося завантажити файл відомостей про сеанс: немає заголовків. Посилання: %url%"
		"Replay_DL_Err_SI_DownloadFailed_FileNonExistent"	"Не вдалося завантажити файл відомостей про сеанс: файл не існує. Посилання: %url%"

		"Replay_DL_Err_HTTP_Prefix"		"Завантаження повтору не вдалося з наступної причини: %err%"
		"Replay_DL_Err_SI_Prefix"		"Файл відомостей про сеанс повтору не вдалося завантажити з наступної причини: %err%"

		"Replay_Err_Report_Prefix"				"Сталися одна чи більше помилок:\n\n"
		"Replay_Err_SessionInfo_BadSessionName"		"Хибна назва сеансу у відомостях про сеанс."
		"Replay_Err_SessionInfo_BadDumpInterval"	"Некоректний інтервал викидання у відомостях про сеанс."
		"Replay_Err_SessionInfo_BadCurrentBlock"	"Хибний покажчик блока у відомостях про сеанс."
		"Replay_Err_SessionInfo_BadStartTick"	"Хибна початкова поділка у відомостях про сеанс."
		"Replay_Err_Recon_Fail"					"Збій перебудування. Не вдалося відтворити повтор."
		"Replay_Err_Recon_BadSession"			"Повтор вказує на відсутній сеанс."
		"Replay_Err_Recon_NotEnoughBlocks"		"Недостатньо блоків для перебудування."
		"Replay_Err_Recon_BlocksNotDLd"			"Були завантажені не всі блоки сеансу."
		"Replay_Err_Recon_NonContinuous"		"Список покажчиків перебудування виявився розривним."
		"Replay_Err_Recon_BlockDNE"				"На носії відсутній один чи більше блоків сеансу."
		"Replay_Err_Recon_ZeroLengthBlock"		"Блок сеансу нульового розміру."
		"Replay_Err_Recon_OutOfMemory"			"Не вистачає пам’яті."
		"Replay_Err_Recon_FailedToRead"			"Збій читання блоку сеансу."
		"Replay_Err_Recon_FailedToWrite"		"Не вдалося записати фінальний перебудований повтор на носій."
		"Replay_Err_Recon_Alloc"				"Не вистачає пам’яті."
		"Replay_Err_Recon_Decompression"		"Не вдалося видобути блок."
		"Replay_Err_Recon_OpenOutFile"			"Не вдалося відкрити результуючий файл для перебудування."
		"Replay_Err_Recon_DecompressorCreate"	"Не вдалося створити видобувач."
		"Replay_Err_Recon_UncompressedSizeIsZero"	"Видобутий розмір є хибним."
		"Replay_Err_Load_BadBlockHandles"		"Сеанс запису не було коректно завантажено, бо діапазон вказівника на блок був хибний."
		"Replay_Err_Load_CouldNotFindSession"	"Блок сеансу запису послався на сеанс запису, який не вдалося знайти."
		"Replay_Err_Load_BadOwnerSession"		"Не вдалося знайти головний сеанс повтору."
		"Replay_Err_Render_ReconstructFailed"	"Не вдалося зберегти повтор як фільм — збій перебудування повтору з блоків сеансу."
		"Replay_Err_NotEnoughBlocksForReconstruction"	"Не вистачає блоків для перебудування повтору."

		"Replay_Err_User_FailedToPlayReplay"	"Не вдалося завантажити повтор. Деталі див. у консолі."
		"Replay_Err_User_FailedToPlayTake"		"Не вдалося завантажити дубль. Деталі див. у консолі."

		"Replay_NoUnrenderedReplays"			"Усі тимчасові повтори вже були збережені як фільми."

		"Replay_NeedQuicktimeNewer"				"Для збереження фільмів ви маєте оновити програму QuickTime до останньої версії. Якщо ви щойно встановили QuickTime і все одно бачите це повідомлення, перезавантажте ПК і спробуйте знову."
		"Replay_NeedQuicktime"					"Для збереження фільмів ви маєте спочатку встановити QuickTime. Якщо ви щойно встановили QuickTime і все одно бачите це повідомлення, перезавантажте ПК і спробуйте знову."
		"Replay_QuicktimeTitle"					"QuickTime"
		"Replay_Err_QT_FailedToLoad"			"Збій завантаження QuickTime. Якщо ви щойно встановили QuickTime і бачите це повідомлення, перезавантажте ПК і спробуйте знову."

		"Replay_OverwriteDlgTitle"				"Перезаписати наявний?"
		"Replay_OverwriteDlgText"				"Дубль з такою назвою вже існує. Бажаєте перезаписати новий замість нього?"
		"Replay_ConfirmOverwrite"				"Так, перезаписати"

