"lang" 
{ 
	"Language" "brazilian" 
	
	"Tokens" 
	{ 
		//----------------------------------------------------------------------------------------
		// HTTP-specific
		//----------------------------------------------------------------------------------------
		"HTTPError_ZeroLengthFile"		"Arquivo de tamanho nulo"
		"Replay_EndRecord"				"Este servidor não está mais capturando replays. Quaisquer replays salvos estão agora prontos para download."
		"Replay_ReplaysAvailable"		"Os replays da última rodada estão agora prontos para download."
		"Replay_ReplaySavedAlive"		"O seu replay começará a ser baixado depois desta vida."
		"Replay_ReplaySavedDead"		"O seu replay foi salvo e começará a ser baixado em instantes."
		"Replay_AlreadySaved"			"Replay já criado! Clique em REPLAYS no menu principal para assisti-lo."
		"Replay_NoListenServer"			"Você só pode gravar replays em servidores dedicados."
		"Replay_NotEnabled"				"A função de Replay está atualmente desativada neste servidor."
		"Replay_NotRecording"			"Este servidor não está atualmente capturando replays."
		"Replay_ConnectRecording"		"Este servidor permite a gravação de replays.\nPressione [ %s1 ] a qualquer momento para criar um replay da sua vida atual.\n\nAviso: se feito como espectador, a sua vida anterior será usada."
		"Replay_ReplaySaveContext"		"Pressione [ %s1 ] a qualquer momento para criar um replay daquela vida. Se feito como espectador, a sua vida anterior será usada."
		"Replay_HideThisMessage"		"[ %s1 ] — Ocultar esta mensagem"
		"Replay_DefaultServerError"		"O servidor encontrou um erro durante o processamento dos replays da última rodada."
		"Replay_NoReplays"				"VOCÊ AINDA NÃO TEM REPLAYS.\nPRESSIONE [ %s1 ] DURANTE UMA PARTIDA PARA CRIAR UM."
		"Replay_NoMovies"				"VOCÊ AINDA NÃO TEM FILMES SALVOS.\nVOCÊ PODE SALVAR REPLAYS COMO FILMES E COMPARTILHÁ-LOS\nCOM OS SEUS AMIGOS."
		"Replay_NoCuts"					"VOCÊ AINDA NÃO TEM TOMADAS. CLIQUE EM \"ASSISTIR\" ABAIXO E, QUANDO O REPLAY CARREGAR, PRESSIONE <ESPAÇO> PARA ENTRAR NO EDITOR DE REPLAYS."
		"Replay_Kills"					"VÍTIMAS"
		"Replay_StatKilledBy"				"MORTO POR"
		"Replay_OnMap"					"NO MAPA"
		"Replay_Life"					"DURAÇÃO"
		"Replay_None"					"<NENHUM>"
		"Replay_RenderTime"				"TEMPO DE RENDERIZAÇÃO"
		"Replay_DefaultDetailsTitle"	"<clique para editar o título>"
		"Replay_Watch"					"ASSISTIR / EDITAR"
		"Replay_YouTubeUpload"			"MANDAR P/ YOUTUBE"
		"Replay_YouTube"				"YouTube™"
		"Replay_YouTubeView"			"VER NO YOUTUBE"
		"Replay_YouTubeShareURL"		"COPIAR URL"
		"Replay_CopyURL_Title"			"URL copiado!"
		"Replay_CopyURL_Text"			"O URL do filme no YouTube™ foi copiado para a sua área de transferência."
		"Replay_ClickToEdit"			"CLIQUE PARA EDITAR"
		"Replay_PlayedAs"				"JOGOU COMO:"
		"Replay_KilledBy"				"MORTO POR:"
		"Replay_LifeLength"				"DURAÇÃO:"
		"Replay_NoKiller"				"NINGUÉM"
		"Replay_SaveThisLifeMsg"		"Pressione [%s1] para salvar um replay dessa vida!"
		"Replay_DownloadComplete"		"Download concluído! Clique em REPLAYS no MENU PRINCIPAL para assistir ao seu replay."
		"Replay_DownloadFailed"			"Falha ao baixar!"
		"Replay_NoKeyBoundNoReplays"	"Você não tem uma tecla definida para salvar replays! Vá em\nOpções -> Teclado -> Diversos para definir."
		"Replay_NoScreenshot"			"SEM CAPTURA"
		"Replay_GenericMsgTitle"		"Replay"
		"Replay_SearchText"				"Buscar"
		"Replay_PlayVoice"				"Incluir conversa por voz"
		"Replay_RenderAdvancedOptions"	"Exibir opções avançadas"
		"Replay_RenderSetting"			"Qualidade do filme:"
		"Replay_RenderSetting_Low"		"Esboço"
		"Replay_RenderSetting_Medium"	"Padrão"
		"Replay_RenderSetting_High"		"Alta"
		"Replay_RenderSetting_Max"		"Máxima"
		"Replay_RenderEstimate_Time"	"Tempo estimado para renderizar: de %s1 a %s2"
		"Replay_RenderEstimate_File"	"Tamanho estimado do arquivo: %s1 KB"
		"Replay_LockWarning"			"AVISO: Bloquear o seu computador enquanto renderiza pode corromper o seu filme!"

		"Replay_NextX"					"PRÓXIMO(S) %s1"
		"Replay_PrevX"					"%s1 ANTERIORES"
		
		"Replay_BackCarat"				"<< VOLTAR"

		"Replay_NewRecord"				"NOVO RECORDE!"
		"Replay_NoNewRecord"			"Você não bateu um recorde dessa vez. Tente novamente!"
		"Replay_SingleWordDateAndTime"	"%s1 às %s2"				// "Today @ 11:00 AM" or "Yesterday at 1:32 PM"
		"Replay_DateAndTime"			"%s2 de %s1 de %s3 às %s4"	// "March 5, 2009 @ 12:32 PM"
		"Replay_Date"					"%s2 de %s1 de %s3"			// "March 5, 2009"
		"Replay_Today"					"Hoje"
		"Replay_Yesterday"				"Ontem"
		"Replay_DeleteEditConfirm"		"Esta tomada será excluída permanentemente."
		"Replay_DeleteReplayConfirm"	"Este replay e todas as tomadas adjacentes serão excluídas permanentemente."
		"Replay_DeleteMovieConfirm"		"Este filme será excluído permanentemente."
		"Replay_RoundInProgress"		"ESPERANDO SERVIDOR"
		"Replay_RenderEllipsis"			"SALVAR P/ FILME..."
		"Replay_RenderReplay"			"RENDER. REPLAY"
		"Replay_RenderReplays"			"RENDERIZAR FILMES"
		"Replay_OlderMovies"			"FILMES MAIS ANTIGOS:"
		"Replay_Rendered"				"FILMES"
		"Replay_Go"						"VAI!"
		"Replay_HighestVideo"			"Renderizar com as melhores configurações de vídeo"
		"Replay_QuitWhenDone"			"Sair quando terminar"
		"Replay_EnableAntiAliasing"		"Ativar antisserrilhado"
		"Replay_EnableVoicePlayback"	"Gravar reprodução de voz"
		"Replay_OverrideFov"			"Substituir campo de visão:"
		"Replay_DeleteDenialTitle"		"NÃO FOI POSSÍVEL EXCLUIR O REPLAY"
		"Replay_DeleteDenialText"		"Você deve excluir todos os filmes renderizados associados a este replay antes de poder excluí-lo."
		"Replay_Title"					"Título"
		"Replay_ConfirmQuitTitle"		"Deseja mesmo sair?"
		"Replay_TakeMeToReplays"		"Leve-me aos replays"
		"Replay_YesReallyQuit"			"Sim, desejo sair"
		"Replay_ConfirmQuit"			"Você tem replays temporários que podem ser perdidos\nse você sair antes de salvá-los como filmes."
		"Replay_CancelRenderTitle"		"Cancelar renderização?"
		"Replay_ConfirmCancelRender"	"Tem certeza de que deseja cancelar a renderização?"
		"Replay_YesCancel"				"Sim, cancelar"
		"Replay_No"						"No"
		"Replay_CancelRender"			"X CANCELAR"
		"Replay_Cancel"					"CANCELAR"
		"Replay_RenderPreview"			"Ativar pré-visualização (mais lento)"
		"Replay_RenderNow"				"Salvar os filmes agora e sair"
		"Replay_DontShowThisAgain"		"Não exibir esta mensagem novamente"
		"Replay_RenderEditTitle"		"Configurações da filmagem"
		"Replay_RenderEditFov"			"Campo de visão da câmera"
		"Replay_RenderEditCamMoveSpeed"	"Velocidade de movimentação da câmera"
		"Replay_RenderEditCamRotSpeed"	"Velocidade de rotação da câmera"
		"Replay_AspectRatio"			"Proporção da tela"
		"Replay_Reset"					"Reiniciar"
		"Replay_ReplayIntroTitle"		"replay - leia isto!"
		"Replay_ConfirmDisconnectFromServer"	"Isto encerrará a sua partida atual."
		"Replay_FirstPerson"			"Primeira pessoa"
		"Replay_Chase"					"Seguir"
		"Replay_Free"					"Livre"
		"Replay_Pause"					"Pausar/despausar"
		"Replay_SlowMo"					"CÂMERA LENTA"
		"Replay_RenderOverlayText"		"Gravando filme..."
		"Replay_RenderOverlay_TimeLeft"	"Tempo: %s1 (%s2 restantes)"
		"Replay_ExportRaw"				"Exportar TGAs/WAV brutos"
		"Replay_UseQuickTime"			"Usar codificador QuickTime"
		"Replay_AccelMin"				"Menos"
		"Replay_AccelMax"				"Mais"
		"Replay_SpeedMin"				"Mais lento"
		"Replay_SpeedMax"				"Mais rápido"
		"Replay_FreeCam"				"CÂMERA LIVRE"
		"Replay_FovMin"					"Mais estreito"
		"Replay_FovMax"					"Mais largo"
		"Replay_RotFilterMin"			"Sem filtro"
		"Replay_RotFilterMax"			"Com filtro"
		"Replay_ShakeSpeed"				"Velocidade da tremida:"
		"Replay_ShakeSpeedMin"			"Baixa"
		"Replay_ShakeSpeedMax"			"Alta"
		"Replay_ShakeAmount"			"Quantidade de tremida:"
		"Replay_ShakeAmountMin"			"Calma"
		"Replay_ShakeAmountMax"			"Terremoto"
		"Replay_ShakeDir"				"Direção da tremida:"
		"Replay_ShakeDirMin"			"Lateral"
		"Replay_ShakeDirMax"			"Vertical"
		"Replay_Accel"					"Aceleração:"
		"Replay_Speed"					"Velocidade:"
		"Replay_Fov"					"Campo de visão:"
		"Replay_RotFilter"				"Filtro de rotação:"
		"Replay_TimeScaleMin"			"Câmera lenta"
		"Replay_TimeScaleMax"			"Curso de tempo"
		"Replay_Scale"					"Escala:"
		"Replay_SetDefaultSetting"		"PADRÃO"
		"Replay_ResetTimeScale"			"PADRÃO"
		"Replay_TimeScale"				"ESCALA DE TEMPO"
		"Replay_Original"				"ORIGINAL:"
		"Replay_Performances"			"TOMADAS:"
		"Replay_Warning"				"Aviso"
		"Replay_Tip"					"Dica"
		"Replay_NukePerformanceChanges"	"Alterações após o tempo atual serão descartadas caso escolha proceder.\n\nQuaisquer novas alterações feitas a partir deste ponto serão gravadas no seu lugar."
		"Replay_UseQuickTimePlayer"		"É recomendado que você use o Quicktime para assistir a filmes salvos."
		"Replay_UseVLCPlayer"		    "É recomendado que você use o VLC para visualizar filmes salvos."
		"Replay_ThanksIWill"			"Obrigado, usarei"
		"Replay_Save"					"Salvar"
		"Replay_SaveAs"					"Salvar como..."
		"Replay_Exit"					"Sair do editor de replay"
		"Replay_MotionBlur"				"Qualidade do desfoque"
		"Replay_MotionBlur_Low"			"Baixa"
		"Replay_MotionBlur_High"		"Alta"
		"Replay_MotionBlur_Enabled"		"Ativar desfoque de movimento (aumentará o tempo de renderização)"
		"Replay_Glow_Enabled"			"Ativar efeito de contorno"
		"Replay_Codec"					"Codec de vídeo"
		"Replay_Codec_H264"				"Mais lento, melhor qualidade (H.264)"
		"Replay_Codec_MJPEGA"			"Mais rápido, arquivo maior (MJPEG-A)"
		"Replay_Codec_WEBM"                     "Codec WebM"
		"Replay_Quality"				"Qualidade de renderização"
		"Replay_Quality_Low"			"Baixa (afeta o tamanho do arquivo)"
		"Replay_Quality_High"			"Alta"
		"Replay_ExportMovie"			"EXPORTAR"
		"Replay_FindExportMovieLocation"	"Nome do arquivo do filme exportado"
		"Replay_ExportMovieError_Title"		"Erro"
		"Replay_ExportMovieError_Text"		"Não foi possível exportar o filme para o local especificado. Confirme que há espaço em disco disponível e que você tem permissões suficientes."
		"Replay_ExportMovieNoFile_Text"		"Não foi possível exportar o filme porque o arquivo do filme não foi encontrado."
		"Replay_ExportMovieSuccess_Title"		"Sucesso"
		"Replay_ExportMovieSuccess_Text"		"O filme foi exportado com sucesso!"
		"Replay_MovieFiles"					"Filme QuickTime"
		"Replay_WebmMovieFiles"					"Filme WebM"

		"Replay_PerfTip_EnterPerfMode"		"PARA ENTRAR NO EDITOR DE REPLAYS, PRESSIONE ESPAÇO."
		"Replay_PerfTip_ExitPerfMode"		"PARA SAIR DO EDITOR DE REPLAYS E DESPAUSAR, PRESSIONE ESPAÇO."
		"Replay_PerfTip_ExitFreeCam"		"PARA SOLTAR O CURSOR DO MOUSE, CLIQUE COM O BOTÃO ESQUERDO."
		"Replay_PerfTip_EnterFreeCam"		"PARA RODAR A CÂMERA, CLIQUE NA JANELA DE VISUALIZAÇÃO E MOVA O MOUSE.\nPARA MOVER-SE HORIZONTALMENTE USE AS TECLAS \"W\" / \"A\" / \"S\" / \"D\".\n PARA MOVIMENTAÇÃO VERTICAL USE \"Z\" E \"X\"."
		"Replay_PerfTip_InPointSet"			"PONTO INICIAL MARCADO."
		"Replay_PerfTip_InPointRemoved"		"PONTO INICIAL REMOVIDO."
		"Replay_PerfTip_OutPointSet"		"PONTO FINAL MARCADO."
		"Replay_PerfTip_OutPointRemoved"	"PONTO FINAL REMOVIDO."
		"Replay_PerfTip_NowRecording"		"GRAVAÇÃO INICIADA."
		"Replay_PerfTip_Snip"				"*CORTE*"
		"Replay_PerfTip_Saved"				"TOMADA SALVA COM SUCESSO."
		"Replay_PerfTip_SaveFailed"			"FALHA AO SALVAR TOMADA!"
		"Replay_PerfTip_EndOfReplayReached"	"FIM DO REPLAY ATINGIDO."

		"Replay_PerfTip_Highlight_Word0"	"ENTRAR"
		"Replay_PerfTip_Highlight_Word1"	"SAIR"
		"Replay_PerfTip_Highlight_Word2"	"PRESSIONE ESPAÇO"
		"Replay_PerfTip_Highlight_Word3"	"CLIQUE"
		"Replay_PerfTip_Highlight_Word4"	"DESPAUSAR"
		"Replay_PerfTip_Highlight_Word5"	"REBOBINAR"
		"Replay_PerfTip_Highlight_Word6"	"PONTO FINAL"
		"Replay_PerfTip_Highlight_Word7"	"CORTE"
		"Replay_PerfTip_Highlight_Word8"	"\"W\""
		"Replay_PerfTip_Highlight_Word9"	"\"A\""
		"Replay_PerfTip_Highlight_Word10"	"\"S\""
		"Replay_PerfTip_Highlight_Word11"	"\"D\""
		"Replay_PerfTip_Highlight_Word12"	"\"Z\""
		"Replay_PerfTip_Highlight_Word13"	"\"X\""
		"Replay_PerfTip_Highlight_Word14"	"MOVA O MOUSE"
		"Replay_PerfTip_Highlight_Word15"	"PONTO INICIAL"
		"Replay_PerfTip_Highlight_Word16"	"TOCAR"
		"Replay_PerfTip_Highlight_Word17"	"AVANÇAR"
		"Replay_PerfTip_Highlight_Word18"	"SHIFT"
		"Replay_PerfTip_Highlight_Word19"	"ALT"
		"Replay_PerfTip_Highlight_Word20"	"PRIMEIRA PESSOA"
		"Replay_PerfTip_Highlight_Word21"	"TERCEIRA PESSOA"
		"Replay_PerfTip_Highlight_Word22"	"CÂMERA LIVRE"
		"Replay_PerfTip_Highlight_NumWords"	"23"

		"Replay_EditorButtonTip_InButton"			"PONTO INICIAL - MARCA O INÍCIO DA TOMADA"
		"Replay_EditorButtonTip_RwHardButton"		"REBOBINAR PARA O INÍCIO DA TOMADA OU\nPARA O PONTO INICIAL, SE HOUVER UM MARCADO"
		"Replay_EditorButtonTip_RwButton"			"REBOBINAR 10 SEGUNDOS"
		"Replay_EditorButtonTip_PlayButton"			"TOCAR A FITA"
		"Replay_EditorButtonTip_FfButton"			"AVANÇAR - CLIQUE E SEGURE O BOTÃO ESQUERDO DO MOUSE\n * SEGURE SHIFT PARA AVANÇAR LENTAMENTE\n * SEGURE ALT PARA AVANÇAR RAPIDAMENTE"
		"Replay_EditorButtonTip_FfHardButton"		"AVANÇAR PARA O FIM DO REPLAY OU O\nPONTO FINAL, SE HOUVER UM MARCADO"
		"Replay_EditorButtonTip_OutButton"			"PONTO FINAL - MARCA O FIM DA TOMADA"
		"Replay_EditorButtonTip_FirstPersonButton"	"CÂMERA EM PRIMEIRA PESSOA"
		"Replay_EditorButtonTip_ThirdPersonButton"	"CÂMERA EM TERCEIRA PESSOA"
		"Replay_EditorButtonTip_FreeCamButton"		"CÂMERA LIVRE"
		"Replay_EditorButtonTip_TimeScaleButton"	"AUMENTAR OU DIMINUIR VELOCIDADE"
			
		"Replay_ClientSideDisabled"				"A FUNÇÃO DE REPLAY FOI DESATIVADA DEVIDO A UM COMPORTAMENTO INESPERADO DO SERVIDOR."
		"Replay_ClientSideEnabled"				"A FUNÇÃO DE REPLAY RECUPEROU-SE DE UM COMPORTAMENTO INESPERADO DO SERVIDOR."

		"Replay_DL_Err_SI_NoSessionName"		"Não há nome de sessão no arquivo de informações da sessão."
		"Replay_DL_Err_SI_ReplayNotFound"		"Replay não encontrado no arquivo de informações da sessão."
		"Replay_DL_Err_SI_InvalidReplayStatus"	"Estado de replay inválido no arquivo de informações da sessão."
		"Replay_DL_Err_SI_InvalidOrder"			"Ordem de blocos inválida no arquivo de informações da sessão."
		"Replay_DL_Err_SI_Unknown"				"Falha ao baixar e processar o arquivo da sessão devido a um erro desconhecido."
		"Replay_DL_Err_SI_BlockReadFailed"		"Não foi possível ler do buffer do bloco da sessão baixado."
		"Replay_DL_Err_SI_NotEnoughData"		"O arquivo de informações da sessão foi baixado, mas não havia dados suficientes para constituir um cabeçalho."
		"Replay_DL_Err_SI_CouldNotCreateCompressor" "O baixador de informações da sessão não pôde criar o compressor especificado porque ele era inválido."
		"Replay_DL_Err_SI_InvalidUncompressedSize" "As informações de sessão baixadas especificaram um tamanho inválido para a carga útil não comprimida."
		"Replay_DL_Err_SI_PayloadDecompressFailed" "Falha ao descomprimir a carga útil de informações da sessão."
		"Replay_DL_Err_SI_PayloadHashFailed"	"O hash da carga útil de informações da sessão era inválido."
		"Replay_DL_Err_SI_Unknown_Session"		"O índice baixado do servidor refere-se a uma sessão que não existe no cliente."
		"Replay_DL_Err_SI_DownloadFailed_UnknownError"		"Falha ao baixar o arquivo de informações da sessão: Erro desconhecido. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_ZeroLengthFile"	"Falha ao baixar o arquivo de informações da sessão: Arquivo de tamanho nulo. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_ConnectionClosed"	"Falha ao baixar o arquivo de informações da sessão: Conexão interrompida. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_InvalidURL"		"Falha ao baixar o arquivo de informações da sessão: URL inválida. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_InvalidProtocol"	"Falha ao baixar o arquivo de informações da sessão: Protocolo inválido. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_CantBindSocket"	"Falha ao baixar o arquivo de informações da sessão: Não foi possível vincular o soquete. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_CantConnect"		"Falha ao baixar o arquivo de informações da sessão: Não foi possível conectar. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_NoHeaders"			"Falha ao baixar o arquivo de informações da sessão: Sem cabeçalhos. URL: %url%"
		"Replay_DL_Err_SI_DownloadFailed_FileNonExistent"	"Falha ao baixar o arquivo de informações da sessão: Arquivo não existente. URL: %url%"

		"Replay_DL_Err_HTTP_Prefix"		"O download do replay falhou pelo seguinte motivo: %err%"
		"Replay_DL_Err_SI_Prefix"		"O download do arquivo de informações da sessão do replay falhou pelo seguinte motivo: %err%"

		"Replay_Err_Report_Prefix"				"Ocorreram um ou mais erros com o replay:\n\n"
		"Replay_Err_SessionInfo_BadSessionName"		"Nome de sessão ruim nas informações da sessão."
		"Replay_Err_SessionInfo_BadDumpInterval"	"Intervalo de despejo ruim nas informações da sessão."
		"Replay_Err_SessionInfo_BadCurrentBlock"	"Índice de blocos ruim nas informações da sessão."
		"Replay_Err_SessionInfo_BadStartTick"	"Quadro inicial ruim nas informações da sessão."
		"Replay_Err_Recon_Fail"					"Falha na reconstrução. Incapaz de reproduzir replay."
		"Replay_Err_Recon_BadSession"			"O replay aponta para uma sessão não existente."
		"Replay_Err_Recon_NotEnoughBlocks"		"Não há blocos suficientes para reconstrução."
		"Replay_Err_Recon_BlocksNotDLd"			"Nem todos os blocos da sessão foram baixados."
		"Replay_Err_Recon_NonContinuous"		"Lista não contínua dos índices de reconstrução."
		"Replay_Err_Recon_BlockDNE"				"Um ou mais blocos de sessão não existem no disco."
		"Replay_Err_Recon_ZeroLengthBlock"		"Bloco da sessão com tamanho nulo."
		"Replay_Err_Recon_OutOfMemory"			"Memória insuficiente."
		"Replay_Err_Recon_FailedToRead"			"Falha ao ler bloco da sessão."
		"Replay_Err_Recon_FailedToWrite"		"Falha ao gravar o replay reconstruído final no disco."
		"Replay_Err_Recon_Alloc"				"Memória insuficiente."
		"Replay_Err_Recon_Decompression"		"Falha ao descompactar bloco."
		"Replay_Err_Recon_OpenOutFile"			"Falha ao abrir arquivo de saída para reconstrução."
		"Replay_Err_Recon_DecompressorCreate"	"Falha ao criar descompactador."
		"Replay_Err_Recon_UncompressedSizeIsZero"	"Tamanho não compactado é inválido."
		"Replay_Err_Load_BadBlockHandles"		"Uma sessão da gravação não foi carregada corretamente porque a série de controle de blocos era inválida."
		"Replay_Err_Load_CouldNotFindSession"	"Um bloco de uma seção de gravação referia-se a uma seção de gravação que não pôde ser encontrada."
		"Replay_Err_Load_BadOwnerSession"		"Não foi possível encontrar a sessão de dono do replay."
		"Replay_Err_Render_ReconstructFailed"	"Não foi possível salvar o replay como filme - falha ao reconstruir replay a partir dos blocos da sessão."
		"Replay_Err_NotEnoughBlocksForReconstruction"	"Não há blocos suficientes para reconstruir o replay."

		"Replay_Err_User_FailedToPlayReplay"	"Falha ao carregar o replay. Veja o console para mais detalhes."
		"Replay_Err_User_FailedToPlayTake"		"Falha ao carregar a tomada. Veja o console para mais detalhes."

		"Replay_NoUnrenderedReplays"			"Todos os replays temporários já foram salvos como filmes."

		"Replay_NeedQuicktimeNewer"				"Para salvar filmes, você precisa atualizar para a versão mais recente do QuickTime. Se você acabou de instalar o QuickTime e está vendo esta mensagem, reinicie e tente novamente."
		"Replay_NeedQuicktime"					"Para salvar filmes, você primeiro precisa instalar o QuickTime. Se você acabou de instalar o QuickTime e está vendo esta mensagem, reinicie e tente novamente."
		"Replay_QuicktimeTitle"					"QuickTime"
		"Replay_Err_QT_FailedToLoad"			"Falha ao carregar o QuickTime. Se você acabou de instalar o QuickTime e está vendo esta mensagem, reinicie e tente novamente."

		"Replay_OverwriteDlgTitle"				"Sobrescrever existente?"
		"Replay_OverwriteDlgText"				"Já existe uma tomada com esse nome. Deseja sobrescrevê-la?"
		"Replay_ConfirmOverwrite"				"Sim, sobrescrever"

		"Replay_NotAllVideoModesAvailable"		"* Nem todos os modos de vídeo estão disponíveis na resolução atual. Para mais opções, mude para uma resolução de tela maior em OPÇÕES -> VÍDEO."

		"Replay_Res_480p"						"480p (720 x 480 x 23,976)"
		"Replay_Res_720p"						"720p (1280 x 720 x 23,967)"
		"Replay_Res_1080p"						"1080p (1920 x 1080 x 23,976)"
		"Replay_Res_Web"						"Web (320 x 240 x 15)"
		"Replay_Res_iPhone_Horizontal"			"iPhone - horizontal (960 x 640 x 23,976)"
		"Replay_Res_iPhone_Vertical"			"iPhone - vertical (640 x 960 x 23,976)"
			
		"Month_1"						"janeiro"
		"Month_2"						"fevereiro"
		"Month_3"						"março"
		"Month_4"						"abril"
		"Month_5"						"maio"
		"Month_6"						"junho"
		"Month_7"						"julho"
		"Month_8"						"agosto"
		"Month_9"						"setembro"
		"Month_10"						"outubro"
		"Month_11"						"novembro"
		"Month_12"						"dezembro"

		"Replay_MovieRenderInfo"		"Resolução: %res%\nQuadros por segundo: %framerate%\nQualidade do desfoque: %motionblurquality%\nCodec: %codec%\nQualidade da codificação: %encodingquality%\nAntiserrilhado: %antialiasing%\nTempo de renderização: %rendertime%\nTGA/WAV brutos: %raw%"
		"Replay_Enabled"				"Ativado"
		"Replay_Disabled"				"Desativado"
		"Replay_RenderInfo"				"INFO. DE RENDERIZAÇÃO"

		"Replay_RewindWarningTitle"		"REBOBINAR"
		"Replay_RewindWarningMsg"		"A rebobinagem pode demorar um pouco. Por mais que você possa sentir tontura, você não perderá quaisquer alterações feitas. Esta mensagem não aparecerá novamente."

		"Replay_YouTubeURL"				"URL DO YOUTUBE"
		"Replay_Category"				"CATEGORIAS"
		
		"Replay_CleaningDisk"			"Fazendo limpeza única de dados desnecessários. Isso pode demorar um minuto..."
		
		"Replay_FirstRenderQueueAddTitle" "Fila de renderização"
		"Replay_FirstRenderQueueAddMsg"	"Você adicionou uma tomada à sua fila de renderização.\n\nVocê pode adicionar múltiplas tomadas e salvá-las todas de uma vez clicando em \"SALVAR TUDO\" no navegador de replays."
	}
}
