"lang" 
{ 
"Language" "korean" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"도착 지점"
"HL2_FIND_HEVFACEPLATE_DESC"		"일라이 박사의 하치장에서 HEV 특수복 충전기 덮개를 찾으십시오."
"HL2_GET_GRAVITYGUN_NAME"		"영점 에너지"
"HL2_GET_GRAVITYGUN_DESC"		"블랙 메사 동부에서 중력건을 얻으십시오."
"HL2_MAKEABASKET_NAME"			"2점 슛"
"HL2_MAKEABASKET_DESC"			"견이의 공을 일라이 박사의 하치장에 있는 농구 골대에 넣으십시오."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"좀비 다지기"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"레이븐홀름에서 중력건만을 사용하여 플레이하십시오."
"HL2_BEAT_CEMETERY_NAME"		"성지"
"HL2_BEAT_CEMETERY_DESC"		"그리고리 신부를 교회 공동묘지를 따라 호위하십시오."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"직업 안전 위생법 위반"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"크레인으로 적 3개체를 처치하십시오."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"겨냥 광고"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"17번 고속도로의 광고판에 콤바인 솔저를 매달아 놓으십시오."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"커비지 대령이 두려워하는 곳"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"무장 헬기로부터 오데사 커비지 대령을 보호하십시오."
"HL2_KILL_THREEGUNSHIPS_NAME"		"외인 부대"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Half-Life 2에서 6대의 무장 헬기를 파괴하십시오."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"모래에서 떨어져!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"모래 함정에서 모래에 닿지 않고 개미귀신 해변을 통과하십시오."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"불청객"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"노바 프로스펙트의 무장 헬기 두 대를 모두 파괴하십시오."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"벌레 사냥"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"개미귀신을 이용하여 적 50개체를 처치하십시오."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"물내리기"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"변기를 사용하여 적을 처치하십시오."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"교도관 프리맨"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"노바 프로스펙트의 두 번째 포탑 대치전에서 살아남으십시오."
"HL2_FOLLOWFREEMAN_NAME"		"프리맨을 따라요"
"HL2_FOLLOWFREEMAN_DESC"		"폭동에서 저항군의 명령권을 획득하십시오."
"HL2_BEAT_TOXICTUNNEL_NAME"		"방사능 감지"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Half-Life 2의 17번 지구 아래 유독 물질로 가득한 터널을 통과하십시오."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"광장 수호자"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"'반시민 1' 챕터의 광장 발전기 대치전에서 살아남으십시오."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"카운터 스나이퍼"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"17번 지구의 모든 저격수를 처치하십시오."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"전력과의 싸움"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"발전기를 꺼서 억제 장치의 작동을 중단시키십시오."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"거인 킬러"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"17번 지구에서 일어나는 지붕 위 스트라이더 전투에서 살아남으십시오."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"분무기"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"콤바인 솔저 15명을 콤바인 볼 필드에 던져 처치하십시오."
"HL2_BEAT_GAME_NAME"			"일점 붕괴"
"HL2_BEAT_GAME_DESC"			"요새의 원자로 코어를 파괴하십시오."
"HL2_FIND_ALLLAMBDAS_NAME"		"람다 탐사 장치"
"HL2_FIND_ALLLAMBDAS_DESC"		"Half-Life 2의 모든 람다 은닉처를 찾으십시오."
} 
}
